epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7855,1.93346,2.78195,2.12577,0.00391,1,0.14367,0.05034,1.65473,3.45644,2.366,4e-05,4e-05,4e-05
2,25.2919,1.823,2.66195,1.93299,0.00391,1,0.16491,0.06111,1.54376,3.44482,2.1525,9.802e-05,9.802e-05,9.802e-05
3,34.0071,1.56088,2.4008,1.79739,0.00391,1,0.21662,0.09502,1.39838,3.31803,1.99124,0.000153664,0.000153664,0.000153664
4,42.7218,1.46787,2.07827,1.6525,0.00391,1,0.39931,0.16493,1.41287,3.29563,2.03857,0.000206932,0.000206932,0.000206932
5,51.3868,1.59192,1.9309,1.7261,0.00391,1,0.3997,0.15991,1.5616,3.21194,2.23493,0.000257824,0.000257824,0.000257824
6,59.9512,1.49201,1.86139,1.6658,0.00391,1,0.33471,0.14126,1.58219,3.33249,2.19378,0.00030634,0.00030634,0.00030634
7,68.7106,1.55899,1.86643,1.76696,0.00391,1,0.27051,0.13361,1.57641,3.35531,2.06636,0.00035248,0.00035248,0.00035248
8,77.3051,1.37939,1.81447,1.65662,0.00391,1,0.27588,0.13248,1.54035,3.36477,2.04648,0.000396244,0.000396244,0.000396244
9,86.0643,1.3289,1.58134,1.49769,0.00391,1,0.37054,0.1572,1.62985,3.21274,2.36811,0.000437632,0.000437632,0.000437632
10,94.9015,1.34653,1.51026,1.59702,0.00391,1,0.45962,0.19118,1.73963,3.34983,2.68798,0.000476644,0.000476644,0.000476644
11,104.504,1.27333,1.59524,1.51327,0.00348,0.88889,0.33275,0.11451,2.00237,3.65863,2.99085,0.00051328,0.00051328,0.00051328
12,114.095,1.18674,1.49628,1.47299,0.01601,0.77778,0.25113,0.08212,2.35501,3.71062,3.31411,0.00054754,0.00054754,0.00054754
13,122.134,1.33056,1.48153,1.57148,0.00699,0.81481,0.17889,0.04277,2.60775,3.74139,3.15592,0.000579424,0.000579424,0.000579424
14,130.227,1.31568,1.46916,1.53117,0.27306,0.51852,0.25377,0.0694,2.26637,3.42234,2.8131,0.000608932,0.000608932,0.000608932
15,138.285,1.37198,1.43341,1.6226,0.48129,0.22222,0.44587,0.1636,1.83625,3.2433,2.62756,0.000636064,0.000636064,0.000636064
16,146.632,1.44553,1.56543,1.6277,0.3008,0.59259,0.34062,0.12854,1.93977,3.38056,2.73923,0.00066082,0.00066082,0.00066082
17,155.079,1.23157,1.52391,1.51148,0.46224,0.11111,0.26288,0.06393,2.42158,3.55176,3.13513,0.0006832,0.0006832,0.0006832
18,163.629,1.33368,1.3796,1.41171,0.50536,0.25926,0.34844,0.08707,2.39501,3.40944,3.32671,0.000703204,0.000703204,0.000703204
19,171.866,1.46125,1.42524,1.5596,0.48223,0.40741,0.4865,0.12908,2.27509,3.16347,3.40248,0.000720832,0.000720832,0.000720832
20,180.239,1.51728,1.64697,1.68565,0.51392,0.62963,0.48656,0.15405,2.13386,2.97338,3.35981,0.000736084,0.000736084,0.000736084
21,188.676,1.25734,1.33121,1.45738,0.69308,0.58572,0.67936,0.2465,1.83987,2.83377,2.79941,0.00074896,0.00074896,0.00074896
